
======================================================================
Điểm Trung Tâm: Centroid {Exam3=81.58008658008659, Exam4=83.97835497835497, Exam5=55.79220779220779, Exam6=83.85281385281385, Exam1=85.48484848484848, Exam2=66.80952380952381, Exam7=81.991341991342}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20168102     29.99686271333956     
SID20168704     26.19875079475569     
SID20168876     30.679428890683837     
SID20168951     25.964971365493682     
SID20169304     16.850439571966138     
SID20171330     49.522329542260955     
SID20171584     30.034145033295633     
SID20171680     30.003356196141652     
SID20171861     27.68034289947564     
SID20171867     26.307169819240396     
SID20172466     20.532154012682575     
SID20172480     29.76019011196139     
SID20172489     35.3272591046405     
SID20172787     30.832076924011076     
SID20173512     31.97601370240858     
SID20173720     29.92121830926131     
SID20174302     20.394647404964164     
SID20174705     33.248345301437695     
SID20174707     28.876923446029995     
SID20174773     36.383034405562725     
SID20175090     42.44499978100101     
SID20175257     29.370857503287837     
SID20175588     33.84101609061907     
SID20175931     36.259199130161306     
SID20175986     34.438131958863586     
SID20176045     35.798227209517506     
SID20176146     33.04630880884724     
SID20176165     36.76669862282031     
SID20176207     31.41211332514947     
SID20176782     28.23912421232827     
SID20176846     34.06560512153896     
SID20176927     34.70503534461025     
SID20177144     28.684997623500994     
SID20177454     27.79918086249351     
SID20177723     29.53422839861938     
SID20177826     39.26414706197517     
SID20177855     33.380173981978935     
SID20178201     39.21946903003558     
SID20178767     31.331872454696992     
SID20178877     19.26456490436858     
SID20181130     33.02822612092405     
SID20181200     26.877590037725014     
SID20181952     18.178113413524958     
SID20182031     29.644467555104203     
SID20182161     31.820146595402388     
SID20182250     37.81943426521313     
SID20182314     32.99819747671388     
SID20183238     42.46544403565216     
SID20183269     40.688900997911375     
SID20183806     33.251339814852095     
SID20183970     32.88899863962722     
SID20184025     48.40912937943603     
SID20184254     26.733049367535628     
SID20184303     40.80486344626152     
SID20184743     29.42990200374953     
SID20185125     35.039218564032026     
SID20185127     39.683025446325     
SID20185210     19.256248716566887     
SID20185278     31.968025115508755     
SID20185649     37.324627124178456     
SID20186513     43.935781524676074     
SID20186800     31.319158588966967     
SID20186984     40.864707594151405     
SID20187596     22.226258745856146     
SID20187746     27.42194901524064     
SID20188040     19.04466378097517     
SID20189154     38.23421324790444     
SID20189161     46.14059633105969     
SID20189917     32.97221180021018     

======================================================================
Điểm Trung Tâm: Centroid {Exam3=65.13286713286713, Exam4=75.96153846153847, Exam5=87.25174825174825, Exam6=79.05944055944056, Exam1=68.00699300699301, Exam2=85.0909090909091, Exam7=85.74475524475524}
MSSV             KHOẢNG CÁCH TỚI TT         
SID20131331     38.45756988425703     
SID20131535     23.79234310641604     
SID20131872     32.23263444648228     
SID20131889     29.887997151201112     
SID20132304     29.822647028862267     
SID20132928     30.98542511430821     
SID20132952     37.16715308999468     
SID20133226     35.495080860854465     
SID20133306     35.98307774773743     
SID20133435     40.83548859699074     
SID20133823     40.82384205343627     
SID20134007     33.77660147612011     
SID20134156     37.45335648739301     
SID20134178     30.054008429180527     
SID20134384     28.13650658985289     
SID20134602     34.58624665421633     
SID20134704     31.65491482300126     
SID20134830     33.068990126339514     
SID20134870     48.329276294361996     
SID20134923     30.762092902209883     
SID20135023     23.628507352860698     
SID20135100     18.076915975705678     
SID20135142     29.264863468843757     
SID20135211     30.37997240552657     
SID20135684     32.55278762413158     
SID20135700     46.78643708799087     
SID20135775     28.132281116949493     
SID20135859     31.26178764429825     
SID20135919     43.28170929762586     
SID20136041     26.917487159260368     
SID20136060     31.32525170991012     
SID20136298     32.93464703179323     
SID20136332     41.90989414037047     
SID20136780     40.85988418911596     
SID20136796     34.62969030518874     
SID20137478     42.09860299000675     
SID20137574     38.77312614135134     
SID20137672     39.306204197245     
SID20138108     50.665211954372936     
SID20138453     27.799583616210544     
SID20138582     40.81784621356695     
SID20138779     22.19743093566849     
SID20139010     31.392374629820814     
SID20139097     23.293477198647526     
SID20139425     24.856343823170373     
SID20139569     31.40139516749934     
SID20139587     28.364856794684034     
SID20139716     27.52771133226886     
SID20139763     44.94758481501773     
SID20139867     40.30598087120479     
SID20141485     42.226810944249564     
SID20141604     39.111532239606596     
SID20141655     33.9996718865862     
SID20141728     38.166896050501485     
SID20142323     24.142179298121647     
SID20142349     39.91002200234533     
SID20142472     31.394379417737998     
SID20142655     32.9378318247968     
SID20143064     28.300066648536443     
SID20143169     36.11508502990403     
SID20143436     28.880487937367253     
SID20143497     32.54773895024265     
SID20143823     38.71356256091343     
SID20143847     38.38913830947202     
SID20143901     39.45341675938759     
SID20144148     42.141437627572664     
SID20144161     35.84336645970564     
SID20144210     25.794211070687105     
SID20144373     32.51259136836727     
SID20144620     31.482685822168012     
SID20144729     33.45342336068712     
SID20144986     35.75536630862635     
SID20145436     35.837903269766535     
SID20145772     22.810224894204616     
SID20145831     44.137088525416075     
